"ID_MODEL";"ID_COLLECTION";"REF_MODEL";"CODE_MODEL";"DESCRIPTION_FR";"DESCRIPTION_AN";"POLICE";"Gen_DESCRIPTION_AN";"Gen_DESCRIPTION_FR";"NUMERO_MAX";"REF_COLLECTION";"NUM_MAX";"REF_COLL";"Aen_DESCRIPTION_AN";"Aen_DESCRIPTION_FR"
1334;12;"07";;;;;;;0;;7;;;
1335;12;"08";;;;;;;0;;1;;;
1336;12;"09";;;;;;;0;;22;;;
1337;12;"10";;;;;;;0;;38;;;
1338;12;"11";;;;;;;0;;1;;;
1339;12;"12";;;;;;;0;;21;;;
1340;12;"13";;;;;;;0;;32;;;
1341;12;"14";;;;;;;0;;1;;;
1342;12;"15";;;;;;;0;;1;;;
1343;12;"16";;;;;;;0;;2;;;
1344;12;"17";;;;;;;0;;0;;;
1345;13;"01";;;;;;;0;;70;;;
1346;13;"02";;;;;;;0;;37;;;
1347;13;"03";;;;;;;0;;83;;;
1348;13;"04";;;;;;;0;;20;;;
1349;13;"05";;;;;;;0;;4;;;
1350;13;"06";;;;;;;0;;18;;;
1351;13;"07";;;;;;;0;;67;;;
1352;13;"08";;;;;;;0;;65;;;
1353;13;"09";;;;;;;0;;23;;;
1354;13;"10";;;;;;;0;;22;;;
1355;13;"11";;;;;;;0;;18;;;
1356;13;"12";;;;;;;0;;7;;;
1357;13;"13";;;;;;;0;;1;;;
1358;13;"14";;;;;;;0;;1;;;
1359;13;"15";;;;;;;0;;1;;;
1360;13;"16";;;;;;;0;;1;;;
1361;13;"17";;;;;;;0;;4;;;
1362;13;"18";;;;;;;0;;18;;;
1363;13;"19";;;;;;;0;;2;;;
